Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed (km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Paddle Sports,2025-08-21 06:53,2025-08-21 07:37,00:43:42,566.32,454.57,174,152.12,3.21,4.4,2439,55.8,,,,,
Outdoor Walk,2025-08-19 20:06,2025-08-19 21:00,00:53:30,271.25,246.56,114,95.85,4.52,5.07,5341,99.82,,,,33.83,
Outdoor Walk,2025-08-18 17:32,2025-08-18 17:55,00:22:10,121.41,121.16,135,113.16,1.92,5.19,1464,66.01,,,1.0,21.83,
Water Sports,2025-08-18 07:47,2025-08-18 09:27,01:39:22,1011,791,160,129.12,,,4919,49.5,,,,,
Paddle Sports,2025-08-18 07:47,2025-08-18 09:27,01:39:25,1011,790.99,160,129.12,6.18,3.73,4919,49.48,,,,,
Open Water Swim,2025-08-17 11:09,2025-08-17 11:24,00:14:37,167.19,140.33,125,107.66,146.36,600.47,,,203,0.231,,,
Open Water Swim,2025-08-17 10:18,2025-08-17 10:31,00:12:17,144.74,120.5,115,106.24,122.25,596.44,,,177,0.24,,,
Water Sports,2025-08-16 07:31,2025-08-16 08:28,00:57:51,605.22,466,166,133.26,,,2560,44.25,,,,,
Paddle Sports,2025-08-16 07:31,2025-08-16 08:29,00:57:53,605.42,466.19,166,133.26,3.09,3.21,2560,44.22,,,,,
Other,2025-08-15 07:34,2025-08-15 08:48,01:13:08,433.99,410,158,121.99,,,1130,15.45,,,,,
Functional Strength Training,2025-08-15 07:34,2025-08-15 08:48,01:13:12,434.25,410.26,158,121.99,,,1130,15.44,,,,,
Outdoor Walk,2025-08-12 11:32,2025-08-12 12:23,00:51:42,340.11,214.26,131,117,3.29,3.82,3242,62.69,,,2.0,62.64,
Water Sports,2025-08-12 07:35,2025-08-12 08:32,00:56:42,754.05,615,166,155.1,,,3455,60.93,,,,,
Paddle Sports,2025-08-12 07:35,2025-08-12 08:32,00:56:45,754.11,615.05,166,155.1,4.17,4.41,3455,60.87,,,,,
Open Water Swim,2025-08-11 18:12,2025-08-11 18:27,00:14:29,229.77,174.73,134,124.8,60.59,250.76,,,275,0.316,,,
Open Water Swim,2025-08-11 17:43,2025-08-11 17:52,00:08:44,123.09,100.68,137,128.88,107.18,735.56,,,162,0.309,,,
Other,2025-08-11 11:26,2025-08-11 11:53,00:26:25,208,208,174,142.82,,,146,5.53,,,,,
Functional Strength Training,2025-08-11 11:26,2025-08-11 11:53,00:26:35,232.47,208.42,174,142.75,,,146,5.49,,,,,
Yoga,2025-08-07 07:33,2025-08-07 07:56,00:21:05,127.76,111.31,129,104.52,,,4,0.19,,,,,
Outdoor Walk,2025-08-07 06:56,2025-08-07 07:06,00:10:17,55.08,31.68,112,101.62,0.511,2.98,689,66.9,,,,4.65,
Outdoor Walk,2025-08-06 20:42,2025-08-06 20:50,00:08:05,53.41,31.57,121,111.32,0.432,3.2,264,32.64,,,,2.45,
Water Sports,2025-08-06 07:26,2025-08-06 08:09,00:43:03,604.53,495,180,161.78,,,2340,54.36,,,,,
Paddle Sports,2025-08-06 07:26,2025-08-06 08:09,00:43:06,604.07,494.53,180,161.78,2.91,4.05,2340,54.28,,,,,
Water Sports,2025-08-04 07:27,2025-08-04 08:17,00:49:16,626.45,502,172,148.95,,,2168,44.01,,,,,
Paddle Sports,2025-08-04 07:27,2025-08-04 08:17,00:49:18,626.35,501.9,172,148.95,3,3.65,2168,43.97,,,,,
Water Sports,2025-08-01 07:20,2025-08-01 08:21,01:00:26,730.12,587,175,145.34,,,1979,32.75,,,,,
Paddle Sports,2025-08-01 07:20,2025-08-01 08:21,01:00:29,729.99,586.86,175,145.34,3.25,3.22,1979,32.72,,,,,
Open Water Swim,2025-07-27 11:43,2025-07-27 11:50,00:07:37,98.33,67.49,124,112.92,78,614.18,,,104,0.227,,,
Open Water Swim,2025-07-27 10:49,2025-07-27 11:01,00:12:02,159.56,118.46,145,116.56,92.34,460.25,,,188,0.26,,,
Water Sports,2025-07-27 07:21,2025-07-27 08:07,00:45:53,89.88,,179,160.23,,,2603,56.73,,,,,
Paddle Sports,2025-07-27 07:21,2025-07-27 08:07,00:46:02,638.5,520.19,179,160.19,3.09,4.03,2603,56.55,,,,,
Water Sports,2025-07-23 07:19,2025-07-23 07:58,00:39:28,77.36,,185,167.63,,,1858,47.08,,,,,
Paddle Sports,2025-07-23 07:19,2025-07-23 07:59,00:39:45,583.25,479.45,185,167.6,3.41,5.14,1858,46.74,,,,,
Traditional Strength Training,2025-07-20 21:16,2025-07-20 21:17,00:01:00,58,58,,,,,,,,,,,
Traditional Strength Training,2025-07-20 20:57,2025-07-20 20:58,00:01:00,45,45,,,,,,,,,,,
Traditional Strength Training,2025-07-20 20:06,2025-07-20 20:07,00:01:11,28.67,5.5,81,77.87,,,,,,,,,
Outdoor Walk,2025-07-18 17:53,2025-07-18 18:14,00:20:37,106.78,77.02,115,105.36,1.18,3.43,1349,65.39,,,,3.94,
High Intensity Interval Training,2025-07-14 23:40,2025-07-14 23:41,00:01:17,27.31,4.64,93,88.56,,,,,,,,,
Outdoor Walk,2025-06-25 19:08,2025-06-25 19:25,00:16:51,81.7,59.22,123,107.15,0.936,3.33,433,25.69,,,,,
Outdoor Walk,2025-06-17 16:50,2025-06-17 17:52,01:01:45,257.69,138.83,124,95.81,1.26,1.22,1477,23.92,,,,2.83,
Outdoor Walk,2025-06-13 18:49,2025-06-13 19:00,00:10:10,75.04,50.39,125,111.36,0.745,4.4,759,74.63,,,,,
Outdoor Walk,2025-06-11 15:37,2025-06-11 15:57,00:20:18,112.18,84.13,131,115.44,1.12,3.32,977,48.1,,,,,
Outdoor Walk,2025-05-26 19:03,2025-05-26 19:22,00:19:23,104.63,78.56,128,113.08,1.24,3.84,719,37.07,,,,,
Elliptical,2025-05-12 07:38,2025-05-12 07:59,00:20:53,321.01,259.5,170,155.13,,,3232,154.74,,,,,
Outdoor Walk,2025-05-11 22:09,2025-05-11 22:20,00:11:31,55.18,27.34,108,93.1,0.454,2.36,858,74.49,,,,5.12,
Outdoor Walk,2025-05-09 23:58,2025-05-10 00:13,00:15:02,105.96,77.12,133,118.92,0.935,3.73,1229,81.66,,,1.0,,
Outdoor Walk,2025-05-09 20:47,2025-05-09 21:15,00:28:05,185.24,159.21,128,117.22,2.15,4.58,2225,79.21,,,,,
Outdoor Walk,2025-05-09 18:53,2025-05-09 19:19,00:25:22,141.74,111.71,121,105.84,1.69,3.99,1393,54.91,,,,,
Outdoor Walk,2025-05-09 18:23,2025-05-09 18:49,00:26:36,85.18,84.24,126,108.27,1.1,2.48,1141,42.89,,,,,
Outdoor Walk,2025-05-06 22:09,2025-05-06 22:18,00:09:17,56.8,29.28,117,103.4,0.483,3.12,672,72.3,,,1.0,2.37,
Outdoor Walk,2025-05-06 18:00,2025-05-06 18:16,00:15:21,121.28,96.44,144,116.18,1.39,5.44,1632,106.23,,,1.0,12.79,
Elliptical,2025-05-06 08:18,2025-05-06 08:49,00:31:07,435.14,415.18,179,163.96,,,3631,116.69,,,,,
Yoga,2025-05-05 11:49,2025-05-05 12:10,00:20:45,168.14,113.47,129,105.56,,,227,10.93,,,,,
Outdoor Walk,2025-05-03 01:04,2025-05-03 01:29,00:25:16,121.14,71.7,143,112.01,0.974,2.31,260,10.28,,,1.0,,
Outdoor Walk,2025-04-26 22:04,2025-04-26 22:38,00:34:03,180.01,129.79,127,108.37,1.73,3.05,1696,49.8,,,1.0,19.96,
Outdoor Walk,2025-04-26 19:08,2025-04-26 19:30,00:21:56,125.91,91.82,126,114.66,1.45,3.97,1885,85.89,,,,,
Outdoor Walk,2025-04-26 15:01,2025-04-26 15:28,00:27:02,108.88,78.38,112,103.49,1.44,3.19,1944,71.87,,,,,
Outdoor Walk,2025-04-24 18:49,2025-04-24 19:12,00:23:15,91.84,63.15,126,108.87,1.04,2.68,1481,63.66,,,,,
Outdoor Walk,2025-04-18 00:37,2025-04-18 01:00,00:22:07,118.02,85.09,144,128.63,0.838,2.27,834,37.69,,,,2.37,
Elliptical,2025-04-15 10:11,2025-04-15 10:43,00:31:44,406.3,380.94,181,165.69,,,4026,126.86,,,,,
Elliptical,2025-04-15 10:08,2025-04-15 10:40,00:32:00,65.2,,181,166.29,,,4026,125.81,,,1.0,,
